id,name,protein,fat,carbohydrate,vitaminA,vitaminB1,vitaminB2,vitaminB3,vitaminB5,vitaminB6,vitaminB12,vitaminC,vitaminD,vitaminK
113,こめ　［陸稲めし］　玄米　　,0.041,0.01,0.343,0,0.0016,0.0002,0.029,0.0065,0.0021,0,0,0,0
114,こめ　［陸稲めし］　半つき米　　,0.038,0.006,0.353,0,0.0008,0.0001,0.016,0.0035,0.0007,0,0,0,0
115,こめ　［陸稲めし］　七分つき米　　,0.036,0.005,0.357,0,0.0006,0.0001,0.008,0.0026,0.0003,0,0,0,0
116,こめ　［陸稲めし］　精白米　　,0.035,0.003,0.361,0,0.0002,0.0001,0.002,0.0025,0.0002,0,0,0,0
117,こめ　［うるち米製品］　アルファ化米　一般用　,0.06,0.01,0.848,0,0.0004,Tr,0.005,0.0019,0.0004,0,0,0,0
118,こめ　［うるち米製品］　アルファ化米　学校給食用強化品　,0.06,0.01,0.848,0,0.0041,Tr,0.005,0.0019,0.0004,0,0,0,0
119,こめ　［うるち米製品］　おにぎり　　,0.027,0.003,0.394,0,0.0002,0.0001,0.002,0.0027,0.0002,0,0,0,0
120,こめ　［うるち米製品］　焼きおにぎり　　,0.031,0.003,0.395,0,0.0003,0.0002,0.003,0.0029,0.0003,0,0,0,0
121,こめ　［うるち米製品］　きりたんぽ　　,0.032,0.004,0.462,0,0.0003,0.0001,0.003,0.0031,0.0002,0,0,0,0
122,こめ　［うるち米製品］　上新粉　　,0.062,0.009,0.785,0,0.0009,0.0002,0.013,0.0067,0.0012,0,0,0,0
123,こめ　［うるち米製品］　玄米粉　　,0.071,0.029,0.841,0,0,0.0003,0.046,0.0012,0.0008,0,0,-,0
124,こめ　［うるち米製品］　米粉　　,0.06,0.007,0.819,0,0.0003,0.0001,0.003,0.002,0.0004,0,0,-,0
125,こめ　［うるち米製品］　米粉パン　　,0.034,0.031,0.513,0,0.0005,0.0003,0.007,0.0023,0.0004,-,-,-,-
126,こめ　［うるち米製品］　米粉めん　　,0.036,0.007,0.584,0,0.0003,Tr,0.005,0.0031,0.0005,0,0,-,0
127,こめ　［うるち米製品］　ビーフン　　,0.07,0.016,0.799,0,0.0006,0.0002,0.006,0.0009,0,0,0,0,0
128,こめ　［うるち米製品］　米こうじ　　,0.058,0.017,0.592,0,0.0011,0.0013,0.015,0.0042,0.0011,0,0,0,0
129,こめ　［もち米製品］　もち　　,0.04,0.006,0.508,0,0.0003,0.0001,0.002,0.0034,0.0003,0,0,0,0
130,こめ　［もち米製品］　赤飯　　,0.043,0.006,0.419,0,0.0005,0.0001,0.002,0.003,0.0003,0,0,0,0.01
131,こめ　［もち米製品］　あくまき　　,0.023,0.018,0.257,0,Tr,Tr,Tr,0,0.0001,0,0,0,0
132,こめ　［もち米製品］　白玉粉　　,0.063,0.01,0.8,0,0.0003,0.0001,0.004,0,0.0001,0,0,0,0
133,こめ　［もち米製品］　道明寺粉　　,0.071,0.007,0.804,0,0.0004,0.0001,0.004,0.0022,0.0004,0,0,0,0
134,こめ　［その他］　米ぬか　　,0.134,0.196,0.488,0,0.0312,0.0021,0.346,0.0443,0.0327,0,0,-,0
135,そば　そば粉　全層粉　　,0.12,0.031,0.696,0,0.0046,0.0011,0.045,0.0156,0.003,0,0,0,0
136,そば　そば粉　内層粉　　,0.06,0.016,0.776,0,0.0016,0.0007,0.022,0.0072,0.002,0,0,0,0
137,そば　そば粉　中層粉　　,0.102,0.027,0.716,0,0.0035,0.001,0.041,0.0154,0.0044,0,0,0,0
138,そば　そば粉　表層粉　　,0.15,0.036,0.651,0,0.005,0.0014,0.071,0.026,0.0076,0,0,0,0
139,そば　そば米　　　,0.096,0.025,0.737,0,0.0042,0.001,0.043,0.0153,0.0035,0,0,0,0
140,そば　そば　生　　,0.098,0.019,0.545,0,0.0019,0.0009,0.034,0.0109,0.0015,0,0,0,0
141,そば　そば　ゆで　　,0.048,0.01,0.26,0,0.0005,0.0002,0.005,0.0033,0.0004,0,0,0,0
142,そば　干しそば　乾　　,0.14,0.023,0.667,0,0.0037,0.0008,0.032,0.0115,0.0024,0,0,0,0
143,そば　干しそば　ゆで　　,0.048,0.007,0.221,0,0.0008,0.0002,0.006,0.0022,0.0005,0,0,0,0
144,とうもろこし　玄穀　黄色種　　,0.086,0.05,0.706,0.13,0.003,0.001,0.02,0.0057,0.0039,0,0,0,0
145,とうもろこし　玄穀　白色種　　,0.086,0.05,0.706,0,0.003,0.001,0.02,0.0057,0.0039,0,0,0,0
146,とうもろこし　コーンミール　黄色種　　,0.083,0.04,0.724,0.13,0.0015,0.0008,0.009,0.0057,0.0043,0,0,0,0
147,とうもろこし　コーンミール　白色種　　,0.083,0.04,0.724,0,0.0015,0.0008,0.009,0.0057,0.0043,0,0,0,0
148,とうもろこし　コーングリッツ　黄色種　　,0.082,0.01,0.764,0.15,0.0006,0.0005,0.007,0.0032,0.0011,0,0,0,0
149,とうもろこし　コーングリッツ　白色種　　,0.082,0.01,0.764,0,0.0006,0.0005,0.007,0.0032,0.0011,0,0,0,0
150,とうもろこし　コーンフラワー　黄色種　　,0.066,0.028,0.761,0.11,0.0014,0.0006,0.013,0.0037,0.002,0,0,0,0
151,とうもろこし　コーンフラワー　白色種　　,0.066,0.028,0.761,0,0.0014,0.0006,0.013,0.0037,0.002,0,0,0,0
152,とうもろこし　ジャイアントコーン　フライ　味付け　　,0.057,0.118,0.766,0,0.0008,0.0002,0.019,0.0012,0.0011,0,0,0,0.01
153,とうもろこし　ポップコーン　　　,0.102,0.228,0.596,0.15,0.0013,0.0008,0.02,0.0046,0.0027,0,0,0,-
154,とうもろこし　コーンフレーク　　　,0.078,0.017,0.836,0.1,0.0003,0.0002,0.003,0.0022,0.0004,0,0,0,0
155,はとむぎ　精白粒　　　,0.133,0.013,0.722,0,0.0002,0.0005,0.005,0.0016,0.0007,0,0,0,0
156,ひえ　精白粒　　　,0.094,0.033,0.732,0,0.0025,0.0002,0.004,0.015,0.0017,0,0,0,0
157,もろこし　玄穀　　　,0.103,0.047,0.711,0,0.0035,0.001,0.06,0.0142,0.0031,0,0,0,0
158,もろこし　精白粒　　　,0.095,0.026,0.741,0,0.001,0.0003,0.03,0.0066,0.0024,0,0,0,0
159,ライむぎ　全粒粉　　　,0.127,0.027,0.707,0,0.0047,0.002,0.017,0.0087,0.0022,0,0,0,0
160,ライむぎ　ライ麦粉　　　,0.085,0.016,0.758,0,0.0015,0.0007,0.009,0.0063,0.001,0,0,0,0
161,穀類混合品　五穀　,0.126,0.028,0.702,0.01,0.0034,0.0007,0.035,0.0058,0.0024,Tr,Tr,0,0.08
162,＜いも類＞きくいも　塊茎　生　　　,0.019,0.004,0.147,0,0.0008,0.0004,0.016,0.0037,0.0009,0,0.1,0,0
163,＜いも類＞きくいも　塊茎　水煮　　　,0.016,0.005,0.113,0,0.0006,0.0003,0.012,0.0029,0.0006,0,0.06,0,0
164,＜いも類＞こんにゃく　精粉　　　,0.03,0.001,0.853,0,0,0,0,0.0152,0.012,0,0,0,0
165,＜いも類＞こんにゃく　板こんにゃく　精粉こんにゃく　　,0.001,0,0.023,0,0,0,0,0,0.0002,0,0,0,0
166,＜いも類＞こんにゃく　板こんにゃく　生いもこんにゃく　　,0.001,0.001,0.033,0,0,0,Tr,0,0.0002,0,0,0,0
167,＜いも類＞こんにゃく　赤こんにゃく　　　,0.001,0,0.025,0,0,0,0,0,0.0002,0,0,0,0
168,＜いも類＞こんにゃく　凍みこんにゃく　乾　　,0.033,0.014,0.771,0,0,0,0.003,0,0.0048,0,0,0,0
169,＜いも類＞こんにゃく　凍みこんにゃく　ゆで　　,0.007,0.003,0.168,0,0,0,0.001,0,0.001,0,0,0,0
170,＜いも類＞こんにゃく　しらたき　　　,0.002,Tr,0.03,0,0,0,0,0,0.0001,0,0,0,0
171,＜いも類＞（さつまいも類）さつまいも　塊根　皮むき　生　　,0.012,0.002,0.319,0.02,0.0011,0.0004,0.008,0.009,0.0026,0,0.29,0,0
172,＜いも類＞（さつまいも類）さつまいも　塊根　皮むき　蒸し　　,0.012,0.002,0.319,0.02,0.0011,0.0004,0.008,0.009,0.0027,0,0.29,0,0
173,＜いも類＞（さつまいも類）さつまいも　塊根　皮むき　焼き　　,0.014,0.002,0.39,0.01,0.0012,0.0006,0.01,0.013,0.0033,0,0.23,0,0
174,＜いも類＞（さつまいも類）さつまいも　塊根　皮つき　生　　,0.009,0.005,0.331,0.03,0.001,0.0002,0.006,0.0048,0.002,0,0.25,0,0
175,＜いも類＞（さつまいも類）さつまいも　塊根　皮つき　蒸し　　,0.009,0.002,0.337,0.04,0.001,0.0002,0.007,0.0056,0.002,0,0.2,0,0
176,＜いも類＞（さつまいも類）さつまいも　塊根　皮つき　天ぷら　　,0.014,0.068,0.384,0.05,0.0011,0.0004,0.007,0.006,0.002,0,0.21,0,0.11
177,＜いも類＞（さつまいも類）さつまいも　蒸し切干　　　,0.031,0.006,0.719,0,0.0019,0.0008,0.016,0.0135,0.0041,0,0.09,0,0
178,＜いも類＞（さつまいも類）むらさきいも　塊根　皮むき　生　　,0.012,0.003,0.317,Tr,0.0012,0.0002,0.013,0.0054,0.0018,0,0.29,0,0
179,＜いも類＞（さつまいも類）むらさきいも　塊根　皮むき　蒸し　　,0.012,0.003,0.314,Tr,0.0013,0.0003,0.015,0.0061,0.0016,0,0.24,0,0
180,＜いも類＞（さといも類）　さといも　球茎　生　　,0.015,0.001,0.131,Tr,0.0007,0.0002,0.01,0.0048,0.0015,0,0.06,0,0
181,＜いも類＞（さといも類）　さといも　球茎　水煮　　,0.015,0.001,0.134,Tr,0.0006,0.0002,0.008,0.0042,0.0014,0,0.05,0,0
182,＜いも類＞（さといも類）　さといも　球茎　冷凍　　,0.022,0.001,0.161,Tr,0.0007,0.0001,0.007,0.0032,0.0014,0,0.05,0,0
183,＜いも類＞（さといも類）　セレベス　球茎　生　　,0.022,0.003,0.198,0.01,0.001,0.0003,0.017,0.0048,0.0021,0,0.06,0,0
184,＜いも類＞（さといも類）　セレベス　球茎　水煮　　,0.021,0.003,0.191,0.01,0.0008,0.0002,0.015,0.0038,0.0016,0,0.04,0,0
185,＜いも類＞（さといも類）　たけのこいも　球茎　生　　,0.017,0.004,0.235,0.01,0.0005,0.0003,0.007,0.0031,0.0021,0,0.06,0,0
186,＜いも類＞（さといも類）　たけのこいも　球茎　水煮　　,0.016,0.004,0.218,0.01,0.0005,0.0002,0.006,0.0023,0.0014,0,0.04,0,0
187,＜いも類＞（さといも類）　みずいも　球茎　生　　,0.007,0.004,0.276,0.01,0.0016,0.0002,0.006,0.002,0.0021,0,0.07,0,0
188,＜いも類＞（さといも類）　みずいも　球茎　水煮　　,0.007,0.004,0.261,0,0.0016,0.0002,0.006,0.0014,0.0017,0,0.04,0,0
189,＜いも類＞（さといも類）　やつがしら　球茎　生　　,0.03,0.007,0.205,0.01,0.0013,0.0006,0.007,0.005,0.0022,0,0.07,0,0
190,＜いも類＞（さといも類）　やつがしら　球茎　水煮　　,0.027,0.006,0.2,0,0.0011,0.0004,0.005,0.0049,0.0017,0,0.05,0,0
191,＜いも類＞じゃがいも　塊茎　生　　　,0.016,0.001,0.176,0,0.0009,0.0003,0.013,0.0047,0.0018,0,0.35,0,Tr
192,＜いも類＞じゃがいも　塊茎　蒸し　　　,0.015,0.001,0.197,0,0.0005,0.0002,0.008,0.0052,0.0018,0,0.15,0,0
