id,name,protein,fat,carbohydrate,vitaminA,vitaminB1,vitaminB2,vitaminB3,vitaminB5,vitaminB6,vitaminB12,vitaminC,vitaminD,vitaminK
102,こめ　［水稲五分かゆ］　半つき米　　,0.6,0.1,7.7,0,0.02,Tr,0.3,0.07,0.01,0,0,0,0
103,こめ　［水稲五分かゆ］　七分つき米　　,0.6,0.1,7.7,0,0.01,Tr,0.2,0.05,0.01,0,0,0,0
104,こめ　［水稲五分かゆ］　精白米　　,0.5,0.1,7.9,0,Tr,Tr,Tr,0.05,Tr,0,0,0,0
105,こめ　［水稲おもゆ］　玄米　　,0.4,0.1,4.4,0,0.02,Tr,0.4,0.08,0.03,0,0,0,0
106,こめ　［水稲おもゆ］　半つき米　　,0.3,0.1,4.6,0,0.01,Tr,0.2,0.04,0.01,0,0,0,0
107,こめ　［水稲おもゆ］　七分つき米　　,0.3,0.1,4.6,0,0.01,Tr,0.1,0.03,Tr,0,0,0,0
108,こめ　［水稲おもゆ］　精白米　　,0.3,0,4.7,0,Tr,Tr,Tr,0.03,Tr,0,0,0,0
109,こめ　［陸稲穀粒］　玄米　　,10.1,2.7,71.1,0,0.41,0.04,6.3,1.37,0.45,0,0,0,0
110,こめ　［陸稲穀粒］　半つき米　　,9.6,1.8,72.9,0,0.3,0.03,4.9,1,0.28,0,0,0,0
111,こめ　［陸稲穀粒］　七分つき米　　,9.5,1.5,73.4,0,0.24,0.03,3.4,0.84,0.2,0,0,0,0
112,こめ　［陸稲穀粒］　精白米　　,9.3,0.9,74.5,0,0.08,0.02,1.2,0.66,0.12,0,0,0,0
113,こめ　［陸稲めし］　玄米　　,4.1,1,34.3,0,0.16,0.02,2.9,0.65,0.21,0,0,0,0
114,こめ　［陸稲めし］　半つき米　　,3.8,0.6,35.3,0,0.08,0.01,1.6,0.35,0.07,0,0,0,0
115,こめ　［陸稲めし］　七分つき米　　,3.6,0.5,35.7,0,0.06,0.01,0.8,0.26,0.03,0,0,0,0
116,こめ　［陸稲めし］　精白米　　,3.5,0.3,36.1,0,0.02,0.01,0.2,0.25,0.02,0,0,0,0
117,こめ　［うるち米製品］　アルファ化米　一般用　,6,1,84.8,0,0.04,Tr,0.5,0.19,0.04,0,0,0,0
118,こめ　［うるち米製品］　アルファ化米　学校給食用強化品　,6,1,84.8,0,0.41,Tr,0.5,0.19,0.04,0,0,0,0
119,こめ　［うるち米製品］　おにぎり　　,2.7,0.3,39.4,0,0.02,0.01,0.2,0.27,0.02,0,0,0,0
120,こめ　［うるち米製品］　焼きおにぎり　　,3.1,0.3,39.5,0,0.03,0.02,0.3,0.29,0.03,0,0,0,0
121,こめ　［うるち米製品］　きりたんぽ　　,3.2,0.4,46.2,0,0.03,0.01,0.3,0.31,0.02,0,0,0,0
122,こめ　［うるち米製品］　上新粉　　,6.2,0.9,78.5,0,0.09,0.02,1.3,0.67,0.12,0,0,0,0
123,こめ　［うるち米製品］　玄米粉　　,7.1,2.9,84.1,0,0,0.03,4.6,0.12,0.08,0,0,-,0
124,こめ　［うるち米製品］　米粉　　,6,0.7,81.9,0,0.03,0.01,0.3,0.2,0.04,0,0,-,0
125,こめ　［うるち米製品］　米粉パン　　,3.4,3.1,51.3,0,0.05,0.03,0.7,0.23,0.04,-,-,-,-
126,こめ　［うるち米製品］　米粉めん　　,3.6,0.7,58.4,0,0.03,Tr,0.5,0.31,0.05,0,0,-,0
127,こめ　［うるち米製品］　ビーフン　　,7,1.6,79.9,0,0.06,0.02,0.6,0.09,0,0,0,0,0
128,こめ　［うるち米製品］　米こうじ　　,5.8,1.7,59.2,0,0.11,0.13,1.5,0.42,0.11,0,0,0,0
129,こめ　［もち米製品］　もち　　,4,0.6,50.8,0,0.03,0.01,0.2,0.34,0.03,0,0,0,0
130,こめ　［もち米製品］　赤飯　　,4.3,0.6,41.9,0,0.05,0.01,0.2,0.3,0.03,0,0,0,1
131,こめ　［もち米製品］　あくまき　　,2.3,1.8,25.7,0,Tr,Tr,Tr,0,0.01,0,0,0,0
132,こめ　［もち米製品］　白玉粉　　,6.3,1,80,0,0.03,0.01,0.4,0,0.01,0,0,0,0
133,こめ　［もち米製品］　道明寺粉　　,7.1,0.7,80.4,0,0.04,0.01,0.4,0.22,0.04,0,0,0,0
134,こめ　［その他］　米ぬか　　,13.4,19.6,48.8,0,3.12,0.21,34.6,4.43,3.27,0,0,-,0
135,そば　そば粉　全層粉　　,12,3.1,69.6,0,0.46,0.11,4.5,1.56,0.3,0,0,0,0
136,そば　そば粉　内層粉　　,6,1.6,77.6,0,0.16,0.07,2.2,0.72,0.2,0,0,0,0
137,そば　そば粉　中層粉　　,10.2,2.7,71.6,0,0.35,0.1,4.1,1.54,0.44,0,0,0,0
138,そば　そば粉　表層粉　　,15,3.6,65.1,0,0.5,0.14,7.1,2.6,0.76,0,0,0,0
139,そば　そば米　　　,9.6,2.5,73.7,0,0.42,0.1,4.3,1.53,0.35,0,0,0,0
140,そば　そば　生　　,9.8,1.9,54.5,0,0.19,0.09,3.4,1.09,0.15,0,0,0,0
141,そば　そば　ゆで　　,4.8,1,26,0,0.05,0.02,0.5,0.33,0.04,0,0,0,0
142,そば　干しそば　乾　　,14,2.3,66.7,0,0.37,0.08,3.2,1.15,0.24,0,0,0,0
143,そば　干しそば　ゆで　　,4.8,0.7,22.1,0,0.08,0.02,0.6,0.22,0.05,0,0,0,0
144,とうもろこし　玄穀　黄色種　　,8.6,5,70.6,13,0.3,0.1,2,0.57,0.39,0,0,0,0
145,とうもろこし　玄穀　白色種　　,8.6,5,70.6,0,0.3,0.1,2,0.57,0.39,0,0,0,0
146,とうもろこし　コーンミール　黄色種　　,8.3,4,72.4,13,0.15,0.08,0.9,0.57,0.43,0,0,0,0
147,とうもろこし　コーンミール　白色種　　,8.3,4,72.4,0,0.15,0.08,0.9,0.57,0.43,0,0,0,0
148,とうもろこし　コーングリッツ　黄色種　　,8.2,1,76.4,15,0.06,0.05,0.7,0.32,0.11,0,0,0,0
149,とうもろこし　コーングリッツ　白色種　　,8.2,1,76.4,0,0.06,0.05,0.7,0.32,0.11,0,0,0,0
150,とうもろこし　コーンフラワー　黄色種　　,6.6,2.8,76.1,11,0.14,0.06,1.3,0.37,0.2,0,0,0,0
151,とうもろこし　コーンフラワー　白色種　　,6.6,2.8,76.1,0,0.14,0.06,1.3,0.37,0.2,0,0,0,0
152,とうもろこし　ジャイアントコーン　フライ　味付け　　,5.7,11.8,76.6,0,0.08,0.02,1.9,0.12,0.11,0,0,0,1
153,とうもろこし　ポップコーン　　　,10.2,22.8,59.6,15,0.13,0.08,2,0.46,0.27,0,0,0,-
